timestamp,staleness,product_count,cpu
1675512400,0,0,50.0
1675512403,0,0,0.0
1675512406,0,0,1.2
1675512409,0,500,0.7
1675512412,0,41998,0.0
1675512415,0,90000,0.5
1675512418,0,162000,0.0
1675512421,0,246000,0.7
1675512424,0,330000,0.2
1675512427,0,414000,0.2
1675512430,0,498000,0.2
1675512433,0,582000,1.2
1675512436,0,666000,0.7
1675512439,0,750000,7.9
1675512442,0,834000,1.0
1675512445,0,918000,3.3
1675512448,0,1002000,0.7
1675512451,0,1086000,0.2
1675512454,0,1170000,1.2
1675512457,0,1254000,0.2
1675512460,0,1338000,0.2
1675512463,0,1422000,0.0
1675512466,0,1506000,0.3
1675512469,0,1590000,0.5
1675512472,0,1672486,0.7
1675512475,0,1758000,0.2
1675512478,0,1842000,0.0
1675512481,0,1926000,0.5
1675512484,0,2010000,0.2
1675512487,0,2094000,0.2
1675512490,0,2178000,0.0
1675512493,0,2262000,0.3
1675512496,0,2346000,0.2
1675512499,0,2429994,0.2
1675512502,0,2514000,0.2
1675512505,0,2598000,0.3
1675512508,0,2682000,0.5
1675512511,0,2766000,0.3
1675512514,0,2850000,0.7
1675512517,0,2934000,1.0
1675512520,0,3018000,0.7
1675512523,0,3102000,0.2
1675512526,0,3186000,0.2
1675512529,0,3270000,0.0
1675512532,0,3354000,0.2
1675512535,0,3433996,0.5
1675512538,0,3522000,0.3
1675512541,0,3606000,0.2
1675512544,0,3690000,0.0
1675512547,0,3774000,0.5
1675512550,0,3858000,0.0
1675512553,0,3942000,1.2
1675512556,0,4026000,0.2
1675512559,0,4110000,0.3
1675512562,0,4194500,0.2
1675512565,0,4278500,0.2
1675512568,0,4362999,0.2
1675512571,0,4446999,0.2
1675512574,0,4530999,0.3
1675512577,0,4615499,0.7
1675512580,0,4699499,0.2
1675512583,0,4784997,0.3
1675512586,0,4868997,0.7
1675512589,0,4952997,0.5
1675512592,0,5037499,0.3
1675512595,0,5122997,0.0
1675512598,0,5204997,0.0
1675512601,0,5290498,0.7
1675512604,0,5373995,0.2
1675512607,0,5458999,0.0
1675512610,0,5543998,0.7
1675512613,0,5628999,0.2
1675512616,0,5712997,0.2
1675512619,0,5795999,0.2
1675512622,0,5881499,0.8
1675512625,0,5974997,1.3
1675512628,0,6058991,0.7
1675512631,0,6142496,0.0
1675512634,0,6227495,0.0
1675512638,0,6308991,0.0
1675512641,0,6402993,0.5
1675512644,0,6486999,0.0
1675512647,0,6570999,0.0
1675512650,0,6655499,0.2
1675512653,0,6738995,0.3
1675512656,0,6822496,0.2
1675512659,0,6897984,0.3
1675512662,0,6990999,0.2
1675512665,0,7076000,0.5
1675512668,0,7147487,0.3
1675512671,0,7244500,0.2
